0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250
IS_LIVE,ITEM_IDS,ITEM LIST,DROPS_FROM_ALL_SHIPS,DROPS_FROM_ALL_ENEMIES,Cadet,Guard,Marine,Sergeant,Veteran,Officer,Dragoon,Thug,Grunt,Hired Gun,Mercenary,Assassin,Clod,Sludge,Mire,MireKnife,Muck,MuckCutlass,Corpse,CorpseCutlass,Carrion,CarrionKnife,Cadaver,CadaverCutlass,Zombie,CaptMudmoss,SpanishUndeadA,SpanishUndeadB,SpanishUndeadC,SpanishUndeadD,FrenchUndeadA,FrenchUndeadB,FrenchUndeadC,FrenchUndeadD,Drip,Damp,Drizzle,Spray,Splatter,Drool,Drench,Douse,CaptBriney,PressGangVoodooZombie,CookVoodooZombie,SwabbieVoodooZombie,LookoutVoodooZombie,AngryVoodooZombie,OfficerVoodooZombie,SlaveDriverVoodooZombie,Crab,StoneCrab,RockCrab,GiantCrab,CrusherCrab,Scorpion,DireScorpion,DreadScorpion,Alligator,BayouGator,BigGator,HugeGator,FlyTrap,RancidFlyTrap,AncientFlyTrap,Stump,TwistedStump,Wasp,KillerWasp,AngryWasp,SoldierWasp,Bat,RabidBat,FireBat,VampireBat,Revenant,RageGhost,MutineerGhost,DeviousGhost,TraitorGhost,WillBurybones,FoulCrenshaw,EvanTheDigger,ThadIllFortune,SimonButcher,ThaddeusWoodWorm,Bonebreaker,GiddeonGrog,WhitWiddowmaker,Blackheart,FrancisFaust,JeremyColdhand,Stench,GeoffreyPain,HughBrandish,NathanielGrimm,SidShiver,IanRamjaw,SandStalker,ManRipper,ClawChief,Bowbreaker,SnapDragon,RipTail,SilentStinger,Bonecracker,Trapjaw,SwampTerror,Frightfang,Bloodleach,Firesting,Devilwing,CarlosCudgel,ZachariahSharp,HenryFlint,PhineasFowl,EdwardLohand,1218760328.71mtucker,1219277508.79mtucker,1244657664.0jloehrle1,1244583168.0jloehrle0,1244833920.0jloehrle,1218760329.71mtucker,1244832512.0jloehrle,1219352693.09mtucker,1219339266.79mtucker,1219367627.94mtucker,1219428571.98mtucker,1220906480.53mtucker,1219434293.16mtucker,1219424341.05mtucker,1219426331.38mtucker,1303260680.08jloehrle,1303331892.2jloehrle,1219425030.24mtucker,1291327895.46jloehrle,NAVY_FERRET,NAVY_BULWARK,NAVY_PANTHER,NAVY_GREYHOUND,NAVY_VANGUARD,NAVY_CENTURION,NAVY_KINGFISHER,NAVY_MONARCH,NAVY_MAN_O_WAR,NAVY_PREDATOR,NAVY_COLOSSUS,NAVY_DREADNOUGHT,EITC_SEA_VIPER,EITC_SENTINEL,EITC_CORVETTE,EITC_BLOODHOUND,EITC_IRONWALL,EITC_MARAUDER,EITC_BARRACUDA,EITC_ORGE,EITC_WARLORD,EITC_CORSAIR,EITC_BEHEMOTH,EITC_JUGGERNAUT,SKEL_PHANTOM,SKEL_REVENANT,SKEL_STORM_REAPER,SKEL_BLACK_HARBINGER,SKEL_DEATH_OMEN,SKEL_SHADOW_CROW_SP,SKEL_SHADOWHOUND_SP,SKEL_BLOOD_SCOURGE_SP,SKEL_SHADOW_CROW_FR,SKEL_HELLHOUND_FR,SKEL_BLOOD_SCOURGE_FR,SHIP_OF_THE_LINE,HMS_VICTORY,HMS_NEWCASTLE,HMS_INVINCIBLE,EITC_INTEPRID,EITC_CONQUERER,EITC_LEVIATHAN,GOLIATH,FLYING_DUTCHMAN,HUNTER_VENGEANCE,HUNTER_CUTTER_SHARK,HUNTER_FLYING_STORM,HUNTER_KILLYADED,HUNTER_RED_DERVISH,HUNTER_CENTURY_HAWK,HUNTER_SCORNED_SIREN,HUNTER_TALLYHO,HUNTER_BATTLEROYAL,HUNTER_EN_GARDE,JOLLY_ROGER,1181260288.0dxschafe,1181171584.0dxschafe0,1157094552.02jasyeung,1181607808.0dxschafe,1169075869.81mike,1186098688.0dxschafe,1157098037.86jasyeung,1157097816.67jasyeung,1232496514.28WDIG,1169079172.34sdnaik,1181260928.0dxschafe,1181605248.0dxschafe,1181606272.0dxschafe,1157098075.78jasyeung,1157098120.05jasyeung,1157098184.94jasyeung,1202419919.16akelts,1203451240.81akelts,1227674362.91WDIG,1175553664.0dxschafe,1227583229.75WDIG,1165199931.31Shochet,1157097924.52jasyeung,1177714944.0mike,1237497701.52piwanow,1237499258.14piwanow,1176186151.42mike,MakeAPirate,1196896512.0dxschafe,1196904064.0dxschafe,1169077081.52mike,1201227181.3dxschafe,1201226462.13dxschafe,,1286922173.8gcarranza,1286984549.68gcarranza,1286991877.14gcarranza,1286991539.99gcarranza,1201109074.66dxschafe,1196907776.0dxschafe0,1201228098.28dxschafe,1201223902.67dxschafe,1201028352.0dxschafe,1201025280.0dxschafe,1201230131.11dxschafe,1201224743.34dxschafe,1196901888.0dxschafe,1213983053.36aapatel,1216766113.92aapatel,1216249894.26aapatel,QuestProp,FishSmall,FishMed,FishLarge,FishLegendary
Yes,1,Rusty Cutlass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,Iron Cutlass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,Steel Cutlass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,7,Worn Cutlass,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,0,0,Yes,Yes
Yes,8,Swabbies Cutlass,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,0,0,Yes,Yes
Yes,9,Deck-hands Cutlass,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,0,0,Yes,Yes
Yes,10,Cabin Boys Cutlass,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,0,0,Yes,Yes
Yes,11,Light Cutlass,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,0,0,Yes,Yes
Yes,12,Heavy Cutlass,Yes,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,0,0,Yes,Yes
